registros;natureza;municipio;cod_municipio;mes;ano;risp;rmbh
0;ESTUPRO CONSUMADO;BOM SUCESSO;310800;1;2026;RISP 6 - LAVRAS;NÃO
0;ESTUPRO CONSUMADO;BONFIM;310810;1;2026;RISP 2 - CONTAGEM;NÃO
0;ESTUPRO CONSUMADO;BONFINOPOLIS DE MINAS;310820;1;2026;RISP 16 - UNAÍ;NÃO
0;ESTUPRO CONSUMADO;BONITO DE MINAS;310825;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;BORDA DA MATA;310830;1;2026;RISP 17 - POUSO ALEGRE;NÃO
1;ESTUPRO CONSUMADO;BOTELHOS;310840;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
0;ESTUPRO CONSUMADO;BOTUMIRIM;310850;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;BRAS PIRES;310870;1;2026;RISP 4 - JUIZ DE FORA;NÃO
0;ESTUPRO CONSUMADO;BRASILANDIA DE MINAS;310855;1;2026;RISP 16 - UNAÍ;NÃO
0;ESTUPRO CONSUMADO;BRASILIA DE MINAS;310860;1;2026;RISP 11 - MONTES CLAROS;NÃO
0;ESTUPRO CONSUMADO;BRASOPOLIS;310890;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;BRAUNAS;310880;1;2026;RISP 12 - IPATINGA;NÃO
1;ESTUPRO CONSUMADO;BRUMADINHO;310900;1;2026;RISP 2 - CONTAGEM;SIM
0;ESTUPRO CONSUMADO;BUENO BRANDAO;310910;1;2026;RISP 17 - POUSO ALEGRE;NÃO
0;ESTUPRO CONSUMADO;BUENOPOLIS;310920;1;2026;RISP 14 - CURVELO;NÃO
0;ESTUPRO CONSUMADO;BUGRE;310925;1;2026;RISP 12 - IPATINGA;NÃO
0;ESTUPRO CONSUMADO;BURITIS;310930;1;2026;RISP 16 - UNAÍ;NÃO
1;ESTUPRO CONSUMADO;BURITIZEIRO;310940;1;2026;RISP 14 - CURVELO;NÃO
0;ESTUPRO CONSUMADO;CABECEIRA GRANDE;310945;1;2026;RISP 16 - UNAÍ;NÃO
0;ESTUPRO CONSUMADO;CABO VERDE;310950;1;2026;RISP 18 - POÇOS DE CALDAS;NÃO
